Time, Load, Wind Power, Diesel Power, Battery Charge, Battery Discharge, Buy, Sell, SOC
0, 169, 10, 150, 0, 0, 9, 0, 0
1, 175, 15, 150, 3.26316, 0, 13.2632, 0, 0.031
2, 179, 20, 150, 0, 0, 9, 0, 0.031
3, 171, 23, 150, 2, 0, 0, 0, 0.05
4, 181, 28, 150, 50, 0, 53, 0, 0.525
5, 190, 33, 150, 50, 0, 57, 0, 1
6, 270, 35, 150, 0, 0, 85, 0, 1
7, 264, 34, 150, 0, 0, 80, 0, 1
8, 273, 70, 150, 0, 0, 53, 0, 1
9, 281, 80, 150, 0, 0, 51, 0, 1
10, 300, 90, 150, 0, 0, 60, 0, 1
11, 320, 100, 150, 0, 45, 25, 0, 0.526316
12, 280, 100, 150, 0, 30, 0, 0, 0.210526
13, 260, 100, 150, 0, 10, 0, 0, 0.105263
14, 250, 100, 150, 0, 0, 0, 0, 0.105263
15, 200, 40, 150, 0, 10, 0, 0, -2.44363e-09
16, 180, 50, 150, 2.57224e-07, 0, 0, 20, 0
17, 190, 60, 150, 0, 0, 0, 20, 0
18, 240, 70, 150, 0, 0, 20, 0, 0
19, 280, 80, 150, 0, 0, 50, 0, 0
20, 325, 90, 150, 0, 0, 85, 0, 0
21, 350, 100, 150, 0, 0, 100, 0, 0
22, 300, 100, 150, 0, 0, 50, 0, 0
23, 250, 100, 150, 0, 0, 0, 0, 0
Time, Load, Wind Power, Diesel Power, Battery Charge, Battery Discharge, Buy, Sell, SOC
0, 130, 70, 60, 0, 0, 0, 0, -6.10906e-09
1, 125, 80, 50, 5, 0, 0, 0, 0.0475
2, 120, 90, 50, 20, 0, 0, 0, 0.2375
3, 120, 100, 50, 30, 0, 0, 0, 0.5225
4, 125, 100, 50, 25, 0, 0, 0, 0.76
5, 135, 35, 125.263, 25.2632, 0, 0, 0, 1
6, 150, 34, 150, 0, 0, 0, 34, 1
7, 160, 70, 150, 0, 0, 0, 60, 1
8, 175, 80, 150, 0, 0, 0, 55, 1
9, 190, 90, 150, 0, 0, 0, 50, 1
10, 195, 100, 150, 0, 0, 0, 55, 1
11, 200, 100, 150, 0, 0, 0, 50, 1
12, 195, 100, 150, 0, 0, 0, 55, 1
13, 195, 100, 150, 0, 0, 0, 55, 1
14, 180, 40, 150, 0, 45, 0, 55, 0.526316
15, 170, 50, 150, 0, 0, 0, 30, 0.526316
16, 185, 60, 150, 0, 0, 0, 25, 0.526316
17, 190, 70, 150, 0, 50, 0, 80, 0
18, 195, 80, 150, 0, 0, 0, 35, 0
19, 200, 90, 150, 0, 0, 0, 40, 0
20, 195, 100, 150, 27.7008, 0, 0, 27.2992, 0.263158
21, 190, 100, 150, 0, 0, 0, 60, 0.263158
22, 180, 100, 150, 0, 0, 0, 70, 0.263158
23, 175, 0, 150, 0, 25, 0, 0, -6.10906e-09
