p_sur,p_short,p_battery_chg,p_battery_dch,battery_soc,p_dg,demand,rdg,c_buy,c_sell
0,9,0,0,0,150,169,10,90,70
0,10,0,0,0,150,175,15,90,70
0,14.2632,5.26316,0,0.05,150,179,20,90,70
0,48,50,0,0.525,150,171,23,90,70
0,53,50,0,1,150,181,28,90,70
0,7,0,0,1,150,190,33,90,70
0,85,0,0,1,150,270,35,110,90
0,80,0,0,1,150,264,34,110,90
0,53,0,0,1,150,273,70,110,90
0,51,0,0,1,150,281,80,110,90
0,60,0,0,1,150,300,90,110,90
0,20,0,50,0.473684,150,320,100,125,105
0,0,0,30,0.157895,150,280,100,125,105
0,0,0,10,0.0526316,150,260,100,125,105
0,0,0,0,0.0526316,150,250,100,125,105
0,5,0,5,0,150,200,40,125,105
20,0,0,0,0,150,180,50,125,105
20,0,0,0,0,150,190,60,125,105
0,20,0,0,0,150,240,70,110,90
0,50,0,0,0,150,280,80,110,90
0,85,0,0,0,150,325,90,110,90
0,100,0,0,0,150,350,100,110,90
0,50,0,0,0,150,300,100,110,90
0,0,0,0,0,150,250,100,110,90
